subset,model,n,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision
speech_real,transcript,450,0.6,0.5887749264465512,0.5879554655870445,0.5882556271730952,0.6169230769230769,0.6598584633029108
speech_real,visual,450,0.4222222222222222,0.2111111111111111,0.5,0.296875,0.5,0.5777777777777777
speech_real,text_mean,450,0.8577777777777778,0.8612588652482269,0.8464574898785424,0.8515739347337608,0.9320850202429151,0.9527222911941089
speech_real,text_lr,450,0.8533333333333334,0.8546929897942112,0.8433198380566802,0.8475014890426996,0.9300202429149798,0.9507230779454786
speech_real,text_speech_lr,450,0.8444444444444444,0.8470111448834853,0.8327935222672065,0.8376589911150508,0.9293724696356276,0.9491143977991954
speech_real,text_visual_lr,450,0.8533333333333334,0.8546929897942112,0.8433198380566802,0.8475014890426996,0.9299595141700404,0.9506756798897432
speech_real,speech_visual_lr,450,0.6,0.5887749264465512,0.5879554655870445,0.5882556271730952,0.6174797570850202,0.6595721005517396
speech_real,full_lr,450,0.8444444444444444,0.8470111448834853,0.8327935222672065,0.8376589911150508,0.9293927125506073,0.9491456642330363
speech_real,text_mlp_seed42,450,0.8577777777777778,0.8593985276894763,0.8478744939271254,0.8521226560414057,0.9313765182186234,0.951673527857885
speech_real,full_mlp_seed42,450,0.8555555555555555,0.8558441558441559,0.8466599190283401,0.8502112405581872,0.9315384615384615,0.9512074059697839
speech_real,text_mlp_seed43,450,0.8511111111111112,0.8527636295038672,0.8406882591093117,0.845050082485777,0.9307894736842105,0.9512656671618843
speech_real,full_mlp_seed43,450,0.8511111111111112,0.8556618819776715,0.8385627530364372,0.8441659129086445,0.929676113360324,0.9493043003239512
speech_real,text_mlp_seed44,450,0.8555555555555555,0.8566286179336825,0.8459514170040485,0.84994690428921,0.9308704453441295,0.9510797842288394
speech_real,full_mlp_seed44,450,0.8488888888888889,0.8508403361344538,0.8380566801619433,0.8425925925925926,0.9280971659919027,0.9483386327688142
speech_real,tfidf_lr,450,0.8422222222222222,0.8378582202111614,0.840080971659919,0.8388601689572563,0.9164574898785425,0.9435654435769711
speech_real,feature_concat_seed42,450,0.82,0.8154500798479856,0.8158906882591093,0.81566610532065,0.9050607287449391,0.932932537180605
speech_real,feature_concat_seed43,450,0.8244444444444444,0.8244670816827013,0.8133603238866396,0.8172978584533788,0.9158502024291497,0.929827751702699
speech_real,feature_concat_seed44,450,0.8133333333333334,0.8106411103767349,0.8044534412955466,0.8069221967963387,0.9124898785425101,0.9354689764273081
speech_real,healnet2024_seed42,450,0.8222222222222222,0.8176477713178294,0.8185222672064778,0.8180678808951061,0.9053036437246964,0.9328333473068187
speech_real,healnet2024_seed43,450,0.8244444444444444,0.8397399660825324,0.8041497975708503,0.8121780478140272,0.8932388663967612,0.8864930210533116
speech_real,healnet2024_seed44,450,0.8644444444444445,0.8607377553654033,0.8678137651821862,0.8626806537301337,0.921923076923077,0.9458888247687982
visual_real,indobert,565,0.9327433628318584,0.9318267419962335,0.933732660781841,0.9324842767295598,0.9763051702395964,0.9842986217897944
visual_real,indobertweet,565,0.9451327433628318,0.944707622126977,0.9474779319041614,0.9450163083230523,0.9795649432534679,0.9856613382046866
visual_real,mbert,565,0.9309734513274336,0.9301206784083497,0.9323770491803278,0.930751317563427,0.9712358133669611,0.9793344278287811
visual_real,transcript,565,0.9398230088495575,0.9393001278419773,0.9419924337957124,0.9396852707726313,0.9812168978562421,0.98679573771045
visual_real,visual,565,0.6778761061946903,0.6760231048021745,0.6763871374527113,0.6761708613609453,0.7325725094577554,0.7812929476842666
visual_real,text_mean,565,0.9451327433628318,0.9442441977293279,0.9460592686002522,0.9449090834746123,0.9834804539722573,0.9888146424832627
visual_real,text_lr,565,0.9469026548672567,0.9460337202874516,0.9476986128625473,0.9466739655693144,0.9833039092055486,0.9881134813471102
visual_real,text_speech_lr,565,0.9451327433628318,0.9442478098250371,0.9463430012610341,0.9449333320757445,0.9838713745271122,0.9884011213672682
visual_real,text_visual_lr,565,0.9469026548672567,0.9460337202874516,0.9476986128625473,0.9466739655693144,0.9833039092055486,0.9881049974220175
visual_real,speech_visual_lr,565,0.9398230088495575,0.9393001278419773,0.9419924337957124,0.9396852707726313,0.9807566204287516,0.9864566261555406
visual_real,full_lr,565,0.9451327433628318,0.9442478098250371,0.9463430012610341,0.9449333320757445,0.9839470365699874,0.9884331628102958
visual_real,text_mlp_seed42,565,0.9451327433628318,0.9442441977293279,0.9460592686002522,0.9449090834746123,0.9841614123581337,0.9887399405376489
visual_real,full_mlp_seed42,565,0.9415929203539823,0.9406962724806591,0.9424968474148803,0.941354830795555,0.9847540983606557,0.9892626451000301
visual_real,text_mlp_seed43,565,0.9486725663716814,0.9478357589925345,0.9493379571248424,0.9484393340067531,0.9842749054224463,0.9888087065867276
visual_real,full_mlp_seed43,565,0.9469026548672567,0.9460138104205901,0.9479823455233292,0.9466981132075472,0.9859268600252208,0.9898071099774324
visual_real,text_mlp_seed44,565,0.9451327433628318,0.9442478098250371,0.9463430012610341,0.9449333320757445,0.9847793190416142,0.9890256446342534
visual_real,full_mlp_seed44,565,0.9451327433628318,0.9442852474675112,0.9457755359394704,0.9448834260072188,0.9831778058007566,0.9885876430632553
visual_real,tfidf_lr,565,0.9203539823008849,0.9194891866124744,0.9216897856242119,0.9200976741116464,0.9654098360655737,0.9772095022216002
visual_real,feature_concat_seed42,565,0.9415929203539823,0.9409847573204975,0.9436317780580076,0.941449122443404,0.9781715006305169,0.9854942905457067
visual_real,feature_concat_seed43,565,0.9504424778761061,0.9495605775266792,0.9515447667087011,0.950251572327044,0.983329129886507,0.9881967094900785
visual_real,feature_concat_seed44,565,0.9433628318584071,0.9425652795545187,0.9449873896595209,0.943191815599628,0.9806809583858764,0.9872079627803891
visual_real,healnet2024_seed42,565,0.9327433628318584,0.9334968811805873,0.9311790668348046,0.9321462884304207,0.9644766708701136,0.9546795846721563
visual_real,healnet2024_seed43,565,0.9362831858407079,0.9354045372415177,0.937578814627995,0.936065079085674,0.9699873896595208,0.9819194044843556
visual_real,healnet2024_seed44,565,0.9398230088495575,0.9397539032152971,0.9425598991172761,0.9397231217210131,0.9741992433795712,0.9796702836654636
platform_facebook,indobert,704,0.7954545454545454,0.7219264640031842,0.7507730364873222,0.7332322849564228,0.8432169562039693,0.6430596741657076
platform_facebook,indobertweet,704,0.7926136363636364,0.7218019091931591,0.7594310451453309,0.7351146297212601,0.8472142576038679,0.6576881672995591
platform_facebook,mbert,704,0.8224431818181818,0.7528515788009459,0.7452690166975882,0.7488978613516715,0.8607297464440322,0.7037744254397766
platform_facebook,transcript,704,0.7514204545454546,0.6838512241054614,0.7283240568954854,0.694903753525818,0.8196491819868443,0.6093832295634223
platform_facebook,visual,704,0.765625,0.3828125,0.5,0.4336283185840708,0.5,0.234375
platform_facebook,text_mean,704,0.8167613636363636,0.7467847634650829,0.7709956709956709,0.7570562979013684,0.8760330578512396,0.7157736360865617
platform_facebook,text_lr,704,0.8125,0.7409261576971213,0.7619047619047619,0.75,0.87743857873728,0.7172039716247309
platform_facebook,text_speech_lr,704,0.8125,0.7415367971995142,0.7661100803957948,0.7518690989874823,0.8765390453702142,0.7158010779135234
platform_facebook,text_visual_lr,704,0.8125,0.7409261576971213,0.7619047619047619,0.75,0.8774835554056334,0.7173761062777774
platform_facebook,speech_visual_lr,704,0.7471590909090909,0.6804876951455437,0.7255411255411255,0.6910575519703366,0.8189520436273683,0.6094747789295802
platform_facebook,full_lr,704,0.8125,0.7415367971995142,0.7661100803957948,0.7518690989874823,0.8766177545398324,0.7158679594525368
platform_facebook,text_mlp_seed42,704,0.8125,0.7406446909337083,0.7598021026592455,0.7490467188765866,0.876775172879069,0.714691818540245
platform_facebook,full_mlp_seed42,704,0.8153409090909091,0.743289224952741,0.7532467532467533,0.747962106190791,0.873570585258897,0.7112944612812198
platform_facebook,text_mlp_seed43,704,0.8082386363636364,0.7374835309617919,0.7675324675324675,0.7494562853414528,0.877854612919548,0.7152761794294106
platform_facebook,full_mlp_seed43,704,0.8025568181818182,0.7287630554986688,0.7512059369202226,0.7382234527774434,0.8751672569854388,0.7090595382447709
platform_facebook,text_mlp_seed44,704,0.8139204545454546,0.7423494983277592,0.7607297464440321,0.7504701142614403,0.8750773036487323,0.7094124803758659
